Category,Deaths 2011,Deaths 2022,Deaths Other Years
In/near vehicle: washed away,40,45,35
In house: inundated/washed away,20,25,20
"On/in water, swimming/makeshift craft",10,15,10
On foot: washed away,15,5,0
Fell out of watercraft,5,0,0
Other,0,0,5
Unknown,0,0,5
