Category,Deaths 2011,Deaths 2022,Deaths Other Years
To attain a destination,60,10,20
Recreation,30,5,10
Mobility issues,10,0,0
Overwhelmed,5,0,0
Work or en route,5,0,3
Helping others,2,0,3
Rescuing property or livestock,2,0,3
Attempting to escape,3,0,0
Other,0,5,0
Unknown,0,5,0
