,AREA,PERIMETER,STATION_ID,METHOD,PLAN_NO,SCALE,SOURCE,NOTE_CODE,MODIFIED,VERSION,latitude,longitude
5376,0.0,1759.45983869,239600,Little info available,,0,Unknown,0,20000101,1,-36.68928496055868,141.22890167503186
5377,0.0,83.88608741,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.2507567786786,146.44549361903537
5378,0.0,22.80212089,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.250726169159556,146.44589365545568
5379,0.0,383.48757769,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25111115640442,146.44548983917775
5380,0.0,14.87274102,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25085504859154,146.4454498594832
5381,0.0,45.8165718,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25113183066783,146.42428721582866
5382,0.0,14.18838624,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25109175400198,146.44533405292142
5383,0.0,24.58285464,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.251120214242675,146.44572782905632
5384,0.0,124.6888794,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25146758328492,146.42473001525582
5385,0.0,33.15775263,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25143370796722,146.44562968157234
5386,0.0,47.33696432,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.251527375912396,146.4468338014437
5387,0.0,31.50153484,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25151879270943,146.4456929196905
5388,0.0,33.2176977,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.2515902523409,146.44579069680347
5389,0.0,24.52102274,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.251590192269035,146.4459370219848
5390,0.0,17.69126495,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.251605824254554,146.43194421128945
5391,0.0,210.83159079,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.251743830534274,146.44592431468837
5392,0.0,156.17055326,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25183062216336,146.42467544541617
5393,0.0,519.53090006,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.2521360106416,146.42521873309906
5394,0.0,167.36006797,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.251946144173445,146.4207638403229
5395,0.0,166.74361853,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25198876807045,146.44674922673735
5396,0.0,41.62205829,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25186227431464,146.44606038054266
